name,id,cot_type,servertime
A8299A,39670931,a-n-A-C-F-m,201705071650
ADE2B8,39802040,a-n-A-C-F-m,201705080850
ICAO-A2C094,39776617,a-n-A-C-F-m,201705072125
AA600A,39667059,a-n-A-C-F-m,201705071650
A403F4,39710897,a-n-A-C-F-m,201705071725
A3EE1F,39657291,a-n-A-C-F-m,201705071635
A85FF5,39798854,a-n-A-C-F-m,201705080850
ICAO-ADC2A7,39658812,a-n-A-C-F-m,201705071640
C0193B,39731482,a-n-A-C-F-m,201705071750
AB4BA6,39694009,a-n-A-C-F-m,201705071710
AA56B6,39707901,a-n-A-C-F-m,201705071720
ICAO-A880FF,39765445,a-n-A-C-F-m,201705071825
AA8B40,39695933,a-n-A-C-F-m,201705071710
3C64EC,39719151,a-n-A-C-F-m,201705071730
AB4BA6,39691618,a-n-A-C-F-m,201705071710
AD9712,39709878,a-n-A-C-F-m,201705071720
A45091,39755880,a-n-A-C-F-m,201705071805
AA8B40,39693596,a-n-A-C-F-m,201705071710
ICAO-47C5CB,39767380,a-n-A-C-F,201705071900
AD734A,39724203,a-n-A-C-F-m,201705071740
A38E11,39684456,a-n-A-C-F-m,201705071705
A2F591,39689298,a-n-A-C-F-m,201705071705
ICAO-A88E71,39661858,a-n-A-C-F-m,201705071640
ICAO-AB856C,39769058,a-n-A-C-F-m,201705071925
ICAO-A46CE1,39657534,a-n-A-C-F-m,201705071635
AA7E7C,39669892,a-n-A-C-F-m,201705071650
A3EE1F,39657471,a-n-A-C-F-m,201705071635
A0DDFB,39747362,a-n-A-C-F-m,201705071800
AA75EF,39720792,a-n-A-C-F-m,201705071735
AAF183,39683153,a-n-A-C-F-m,201705071700
C06A39,39680343,a-n-A-C-F-m,201705071700
AAF183,39683828,a-n-A-C-F-m,201705071705
AB4BA6,39690829,a-n-A-C-F-m,201705071710
A87904,39694407,a-n-A-C-F-m,201705071710
AA75EF,39721418,a-n-A-C-F-m,201705071735
A84D62,39757691,a-n-A-C-F-m,201705071805
