id,cot_event_id,point_hae,point_ce,point_le,tilex,tiley,longitude,latitude
cep-39656890,39656890,10691,9999999,9999999,18718,25612,-77.1751785278,36.5424041748
cep-39656891,39656891,10973,9999999,9999999,18834,25521,-76.5393597147,36.9425524695
cep-39656892,39656892,10691,9999999,9999999,18718,25612,-77.1751785278,36.5424041748
cep-39656893,39656893,0,9999999,9999999,18718,25612,-77.1751785278,36.5424041748
cep-39656894,39656894,13106,9999999,9999999,18823,25622,-76.6020011902,36.4996948242
cep-39656895,39656895,10973,9999999,9999999,18834,25522,-76.5410467919,36.9399719238
cep-39656896,39656896,10660,9999999,9999999,18594,25567,-77.8559303284,36.7425384521
cep-39656897,39656897,13106,9999999,9999999,18823,25622,-76.6020011902,36.4996948242
cep-39656898,39656898,0,9999999,9999999,18718,25612,-77.1751785278,36.5424041748
cep-39656899,39656899,0,9999999,9999999,18718,25612,-77.1751785278,36.5424041748
cep-39656900,39656900,10973,9999999,9999999,18834,25522,-76.5410467919,36.9399719238
cep-39656901,39656901,10973,9999999,9999999,18834,25522,-76.5415727331,36.9391479492
cep-39656902,39656902,13106,9999999,9999999,18823,25622,-76.6020011902,36.4996948242
cep-39656903,39656903,13106,9999999,9999999,18823,25622,-76.6020011902,36.4996948242
cep-39656904,39656904,10973,9999999,9999999,18834,25522,-76.5415727331,36.9391479492
cep-39656905,39656905,0,9999999,9999999,18718,25612,-77.1751785278,36.5424041748
cep-39656906,39656906,0,9999999,9999999,18718,25612,-77.1751785278,36.5424041748
cep-39656907,39656907,10973,9999999,9999999,18834,25522,-76.5415727331,36.9391479492
cep-39656908,39656908,10691,9999999,9999999,18719,25611,-77.1699142456,36.5479431152
cep-39656909,39656909,10691,9999999,9999999,18719,25611,-77.1699142456,36.5479431152
cep-39656910,39656910,13106,9999999,9999999,18823,25622,-76.6020011902,36.4996948242
cep-39656911,39656911,10691,9999999,9999999,18719,25611,-77.1699142456,36.5479431152
cep-39656912,39656912,10973,9999999,9999999,18834,25522,-76.5415727331,36.9391479492
cep-39656913,39656913,10668,9999999,9999999,18598,25638,-77.8344726563,36.4280548096
cep-39656914,39656914,10668,9999999,9999999,18598,25638,-77.8344726563,36.4280548096
cep-39656915,39656915,10668,9999999,9999999,18598,25638,-77.8344726563,36.4280548096
cep-39656916,39656916,10973,9999999,9999999,18834,25522,-76.5415727331,36.9391479492
cep-39656917,39656917,13106,9999999,9999999,18822,25624,-76.6063499451,36.4900817871
cep-39656918,39656918,10973,9999999,9999999,18834,25522,-76.5415727331,36.9391479492
cep-39656919,39656919,13106,9999999,9999999,18822,25624,-76.6063499451,36.4900817871
cep-39656920,39656920,10691,9999999,9999999,18719,25611,-77.1699142456,36.5479431152
cep-39656921,39656921,10691,9999999,9999999,18719,25611,-77.1699142456,36.5479431152
cep-39656922,39656922,10668,9999999,9999999,18598,25638,-77.8344726563,36.4280548096
cep-39656923,39656923,13106,9999999,9999999,18822,25624,-76.6063499451,36.4900817871
cep-39656924,39656924,13106,9999999,9999999,18822,25624,-76.6063499451,36.4900817871
cep-39656925,39656925,10691,9999999,9999999,18720,25610,-77.16656624,36.5515136719
cep-39656926,39656926,10691,9999999,9999999,18720,25610,-77.16656624,36.5515136719
cep-39656927,39656927,10668,9999999,9999999,18598,25637,-77.8344154358,36.4310760498
cep-39656928,39656928,10973,9999999,9999999,18833,25523,-76.545688795,36.9329627086
cep-39656929,39656929,10691,9999999,9999999,18720,25610,-77.16656624,36.5515136719
cep-39656930,39656930,13106,9999999,9999999,18822,25624,-76.6063499451,36.4900817871
cep-39656931,39656931,10668,9999999,9999999,18598,25637,-77.8344154358,36.4310760498
cep-39656932,39656932,10668,9999999,9999999,18598,25637,-77.8344154358,36.4310760498
cep-39656933,39656933,13106,9999999,9999999,18822,25624,-76.6063499451,36.4900817871
cep-39656934,39656934,10973,9999999,9999999,18833,25523,-76.545688795,36.9329627086
cep-39656935,39656935,10668,9999999,9999999,18598,25637,-77.8344154358,36.4310760498
cep-39656936,39656936,10668,9999999,9999999,18598,25637,-77.8344154358,36.4310760498
cep-39656937,39656937,10668,9999999,9999999,18598,25637,-77.8344531769,36.4320606296
cep-39656938,39656938,10973,9999999,9999999,18833,25524,-76.5463646422,36.9317321777
cep-39656939,39656939,13106,9999999,9999999,18822,25624,-76.6063499451,36.4900817871
cep-39656940,39656940,13106,9999999,9999999,18822,25624,-76.6063499451,36.4900817871
cep-39656941,39656941,10691,9999999,9999999,18720,25610,-77.16656624,36.5515136719
cep-39656942,39656942,10691,9999999,9999999,18720,25610,-77.16656624,36.5515136719
cep-39656943,39656943,12329,1,8,19870,24353,-70.84702,41.89632
cep-39656944,39656944,10668,9999999,9999999,18598,25637,-77.8344531769,36.4320606296
cep-39656945,39656945,10691,9999999,9999999,18720,25610,-77.16656624,36.5515136719
cep-39656946,39656946,10668,9999999,9999999,18598,25637,-77.8344531769,36.4320606296
cep-39656947,39656947,13106,9999999,9999999,18822,25624,-76.6063499451,36.4900817871
cep-39656948,39656948,10691,9999999,9999999,18720,25610,-77.16656624,36.5515136719
cep-39656949,39656949,10691,9999999,9999999,18720,25610,-77.16656624,36.5515136719
