course0, level_500, person40, spring_0001
course1, level_500, person40, winter_0102
course101, level_500, person279, spring_0001
course101, level_500, person394, spring_0203
course101, level_500, person279, spring_0304
course103, level_500, person201, autumn_0102
course103, level_500, person201, autumn_0304
course104, level_300, person165, autumn_0203
course108, level_500, person279, autumn_0203
course11, level_300, person298, autumn_0304
course11, level_300, person331, spring_0001
course11, level_300, person324, spring_0102
course11, level_300, person324, spring_0203
course11, level_300, person52, spring_0304
course11, level_300, person298, winter_0001
course110, level_400, person351, autumn_0102
course110, level_400, person351, autumn_0203
course110, level_400, person351, autumn_0304
course110, level_400, person351, winter_0001
course115, level_500, person342, spring_0001
course115, level_500, person72, spring_0102
course115, level_500, person342, spring_0203
course116, level_500, person375, spring_0102
course118, level_400, person351, summer_0203
course119, level_500, person324, winter_0203
course12, level_500, person211, autumn_0001
course12, level_500, person79, autumn_0102
course12, level_500, person407, autumn_0304
course12, level_500, person211, winter_0203
course120, level_500, person235, spring_0001
course120, level_500, person235, spring_0102
course120, level_500, person235, spring_0203
course120, level_500, person235, spring_0304
course121, level_500, person52, winter_0203
course122, level_400, person378, autumn_0304
course122, level_400, person378, spring_0203
course123, level_500, person150, autumn_0001
course123, level_500, person150, spring_0102
course124, level_300, person335, spring_0001
course124, level_300, person46, spring_0304
course125, level_400, person351, winter_0102
course125, level_400, person351, winter_0203
course125, level_400, person351, winter_0304
course126, level_400, person165, winter_0102
course126, level_400, person165, winter_0304
course128, level_400, person150, winter_0304
course129, level_500, person213, autumn_0203
course129, level_500, person373, winter_0001
course129, level_500, person213, winter_0102
course129, level_500, person213, winter_0304
course13, level_500, person72, winter_0001
course13, level_500, person342, winter_0102
course13, level_500, person342, winter_0203
course13, level_500, person342, winter_0304
course132, level_500, person319, autumn_0304
course134, level_500, person240, spring_0203
course136, level_500, person394, spring_0304
course137, level_400, person165, winter_0102
course137, level_400, person165, winter_0304
course138, level_500, person335, autumn_0304
course139, level_500, person235, winter_0203
course14, level_500, person124, spring_0102
course141, level_500, person150, winter_0203
course143, level_400, person211, winter_0001
course143, level_400, person407, winter_0102
course144, level_500, person331, autumn_0304
course146, level_300, person335, spring_0203
course146, level_300, person335, spring_0304
course147, level_300, person201, autumn_0001
course147, level_300, person165, autumn_0304
course147, level_300, person52, spring_0203
course147, level_300, person165, winter_0001
course147, level_300, person324, winter_0102
course147, level_300, person165, winter_0203
course147, level_300, person331, winter_0304
course148, level_400, person351, winter_0102
course148, level_400, person351, winter_0203
course149, level_500, person331, autumn_0304
course15, level_500, person292, spring_0203
course15, level_500, person292, winter_0001
course150, level_500, person351, summer_0102
course151, level_400, person290, autumn_0001
course151, level_400, person179, autumn_0102
course151, level_400, person179, autumn_0304
course151, level_400, person234, spring_0102
course151, level_400, person234, spring_0203
course151, level_400, person234, spring_0304
course151, level_400, person235, winter_0001
course151, level_400, person290, winter_0102
course151, level_400, person179, winter_0203
course151, level_400, person82, winter_0304
course153, level_500, person394, spring_0001
course153, level_500, person342, spring_0102
course156, level_500, person240, autumn_0102
course156, level_500, person240, autumn_0304
course157, level_400, person342, autumn_0001
course157, level_400, person72, autumn_0102
course157, level_400, person72, autumn_0203
course157, level_400, person72, spring_0001
course157, level_400, person394, spring_0102
course157, level_400, person72, spring_0203
course157, level_400, person342, spring_0304
course158, level_500, person240, spring_0304
course158, level_500, person240, winter_0001
course159, level_400, person394, winter_0102
course16, level_500, person240, spring_0001
course16, level_500, person79, winter_0203
course160, level_500, person331, autumn_0001
course161, level_400, person201, winter_0001
course161, level_400, person298, winter_0102
course161, level_400, person331, winter_0203
course161, level_400, person201, winter_0304
course162, level_500, person213, spring_0102
course164, level_400, person351, spring_0001
course164, level_400, person351, spring_0102
course164, level_400, person351, spring_0203
course164, level_400, person351, spring_0304
course166, level_500, person235, winter_0102
course167, level_500, person98, winter_0203
course168, level_500, person240, spring_0203
course170, level_500, person407, spring_0203
course170, level_500, person79, winter_0001
course170, level_500, person211, winter_0102
course170, level_500, person79, winter_0304
course172, level_500, person335, autumn_0001
course172, level_500, person335, autumn_0203
course172, level_500, person46, autumn_0304
course173, level_500, person171, spring_0001
course18, level_300, person373, autumn_0001
course18, level_300, person213, autumn_0102
course18, level_300, person107, autumn_0203
course18, level_300, person107, spring_0001
course18, level_300, person375, spring_0203
course18, level_300, person375, spring_0304
course18, level_300, person107, winter_0102
course18, level_300, person290, winter_0203
course18, level_300, person290, winter_0304
course19, level_500, person5, winter_0102
course2, level_500, person180, winter_0001
course2, level_500, person180, winter_0102
course20, level_400, person180, winter_0001
course20, level_400, person180, winter_0102
course20, level_400, person180, winter_0304
course21, level_400, person22, spring_0203
course23, level_500, person179, winter_0304
course24, level_400, person240, autumn_0001
course24, level_400, person211, autumn_0102
course24, level_400, person240, autumn_0203
course24, level_400, person79, autumn_0304
course24, level_400, person150, spring_0001
course24, level_400, person240, spring_0102
course24, level_400, person211, spring_0203
course24, level_400, person407, spring_0304
course27, level_400, person165, spring_0001
course27, level_400, person165, spring_0102
course27, level_400, person331, spring_0203
course27, level_400, person165, spring_0304
course28, level_400, person394, winter_0102
course29, level_500, person298, winter_0001
course3, level_500, person279, autumn_0203
course30, level_400, person290, autumn_0203
course30, level_400, person290, spring_0001
course30, level_400, person290, spring_0102
course30, level_400, person290, spring_0203
course30, level_400, person290, spring_0304
course32, level_500, person319, winter_0001
course34, level_500, person179, winter_0102
course38, level_400, person104, autumn_0102
course38, level_400, person104, autumn_0203
course38, level_400, person124, autumn_0304
course38, level_400, person104, winter_0001
course38, level_400, person124, winter_0102
course38, level_400, person104, winter_0203
course39, level_500, person415, spring_0102
course4, level_500, person107, autumn_0102
course4, level_500, person107, spring_0203
course40, level_500, person378, spring_0001
course40, level_500, person298, spring_0102
course40, level_500, person165, spring_0203
course40, level_500, person298, winter_0304
course41, level_400, person351, winter_0304
course44, level_400, person171, autumn_0001
course44, level_400, person171, autumn_0102
course44, level_400, person171, autumn_0203
course44, level_400, person171, autumn_0304
course44, level_400, person415, spring_0102
course44, level_400, person293, winter_0001
course44, level_400, person415, winter_0203
course44, level_400, person415, winter_0304
course46, level_500, person335, winter_0001
course46, level_500, person335, winter_0203
course46, level_500, person335, winter_0304
course48, level_400, person107, autumn_0001
course48, level_400, person375, autumn_0102
course48, level_400, person375, autumn_0203
course48, level_400, person213, autumn_0304
course49, level_400, person189, spring_0304
course50, level_500, person171, spring_0102
course50, level_500, person171, spring_0304
course50, level_500, person171, winter_0001
course51, level_400, person5, autumn_0001
course52, level_400, person168, spring_0001
course52, level_400, person168, spring_0102
course52, level_400, person168, winter_0203
course52, level_400, person168, winter_0304
course53, level_400, person189, autumn_0304
course57, level_400, person150, winter_0304
course61, level_500, person107, spring_0203
course62, level_400, person101, winter_0001
course62, level_400, person101, winter_0102
course63, level_500, person335, spring_0102
course64, level_500, person79, spring_0001
course64, level_500, person79, spring_0203
course66, level_500, person298, autumn_0001
course66, level_500, person165, autumn_0102
course67, level_500, person394, winter_0001
course68, level_400, person331, autumn_0203
course68, level_400, person331, winter_0001
course68, level_400, person201, winter_0102
course68, level_400, person324, winter_0304
course7, level_500, person415, spring_0304
course71, level_500, person5, winter_0001
course74, level_500, person124, autumn_0203
course74, level_500, person104, autumn_0304
course74, level_500, person124, spring_0001
course74, level_500, person104, spring_0102
course76, level_500, person319, autumn_0304
course76, level_500, person319, spring_0102
course77, level_500, person165, autumn_0001
course77, level_500, person324, autumn_0102
course77, level_500, person52, autumn_0203
course77, level_500, person52, autumn_0304
course79, level_500, person72, autumn_0304
course8, level_400, person297, spring_0001
course8, level_400, person297, spring_0102
