id,source_id,cot_type,how,detail,servertime
39656890,53,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='NKS306'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:32:30.642Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:34:59Z'/></detail>,201705071635
39656891,29,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='AAL769'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:29:45.324Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:34:59Z'/></detail>,201705071635
39656892,53,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='NKS306'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:32:30.642Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:34:59Z'/></detail>,201705071635
39656893,53,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='NKS306'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:32:30.642Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:34:59Z'/></detail>,201705071635
39656894,16,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='N352VJ'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:27:17.567Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:34:59Z'/></detail>,201705071635
39656895,29,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='AAL769'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:29:45.324Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:34:59Z'/></detail>,201705071635
39656896,28,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='AAL1037'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:31:18.459Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:34:59Z'/></detail>,201705071635
39656897,16,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='N352VJ'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:27:17.567Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:00Z'/></detail>,201705071635
39656898,53,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='NKS306'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:32:30.642Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:00Z'/></detail>,201705071635
39656899,53,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='NKS306'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:32:30.642Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:00Z'/></detail>,201705071635
39656900,29,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='AAL769'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:29:45.324Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:00Z'/></detail>,201705071635
39656901,29,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='AAL769'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:29:45.324Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:00Z'/></detail>,201705071635
39656902,16,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='N352VJ'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:27:17.567Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:00Z'/></detail>,201705071635
39656903,16,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='N352VJ'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:27:17.567Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:00Z'/></detail>,201705071635
39656904,29,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='AAL769'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:29:45.324Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:00Z'/></detail>,201705071635
39656905,53,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='NKS306'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:32:30.642Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:00Z'/></detail>,201705071635
39656906,53,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='NKS306'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:32:30.642Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:01Z'/></detail>,201705071635
39656907,29,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='AAL769'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:29:45.324Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:01Z'/></detail>,201705071635
39656908,53,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='NKS306'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:32:30.642Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:01Z'/></detail>,201705071635
39656909,53,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='NKS306'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:32:30.642Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:01Z'/></detail>,201705071635
39656910,16,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='N352VJ'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:27:17.567Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:01Z'/></detail>,201705071635
39656911,53,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='NKS306'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:32:30.642Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:01Z'/></detail>,201705071635
39656912,29,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='AAL769'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:29:45.324Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:01Z'/></detail>,201705071635
39656913,67,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='UAL1628'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:34:09.976Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:01Z'/></detail>,201705071635
39656914,67,a-n-A-C-F-m,m-g,<detail><status readiness='true'/><contact callsign='UAL1628'/><link uid='ANDROID-353300067817459' production_time='2017-05-07T20:34:09.976Z' relation='p-p' type='a-f-G-U-C' parent_callsign='ADS-B'/><tadilj tadilj=''/><tadilj tadilj=''/><color argb='-1'/><precisionlocation geopointsrc='???' altsrc='???'/><_flow-tags_ demo1='2017-05-07T20:35:02Z'/></detail>,201705071635
